L0001,L0002,L0003,L0006,L0004,L0005,L0007,L0008,L0009,L0010,L0011,L0012,L1201,L1202,L1203,L1243,L1244,L1245,L1255,L1256,L1257,L1216,L1217,L1218,L1234,L1235,L1236,L1261,L1262,L1263
0.437722203,0.344801367,3.828495596,1.197357213,3.604418421,7.170064252,1.547675689,6.765483022,6.096066861,1.108673651,2.069718613,2.902962366,9.547781553,5.875750646,10.40220322,8.79967593,3.625254627,7.165422297,3.21502294,10.1944493,7.510503488,10.9868071,2.577035282,4.321059884,0.880483366,6.594364919,4.413106703,2.711041738,3.732538486,2.573819657
7.104334514,0.097895652,4.95259026,3.486406188,3.622938753,5.371325389,2.349692536,6.189631513,5.637402176,4.122388835,3.733492958,2.826558316,3.591755371,3.03404036,1.930911708,1.240894996,1.251870647,3.385968128,1.869094618,3.425257237,4.43581812,3.458599437,2.717103353,0.548327121,-0.648028759,1.147642834,2.235198379,-0.36878173,0.108271596,-0.874807846
40.75738127,25.89799421,44.6748093,36.05012806,35.92895699,58.78082907,31.62514728,60.82443133,86.08008119,53.71925914,30.9938942,29.43827756,9.063539381,7.209387027,8.085767264,4.707575955,4.833108325,5.998857317,3.873441438,9.631925131,6.367423187,9.473650589,5.140087157,3.953290392,2.135221452,5.263832775,6.771870849,6.566979846,3.212559759,1.772954708
12.68154147,4.448063866,14.5412567,8.80464766,9.808644259,19.92504174,7.438120836,14.64759818,13.69600599,11.17245025,7.152274939,6.506481285,133.8335869,65.06652706,149.5462204,80.78211464,75.82275145,69.22414256,48.36592445,81.07939274,62.27132601,99.18082674,62.46168854,86.77413241,57.20161782,102.7820306,61.45139892,70.15121394,35.19010958,56.91225866
7.236535392,0.376058371,3.984979193,2.937082262,3.851108282,4.4495625,1.706625635,4.115828694,2.444132688,1.300729165,2.519611494,2.295978005,15.6041225,7.884115691,15.97898461,8.059431625,7.336555907,8.445841864,5.088668699,8.257175976,8.646654231,9.59993667,9.004797763,6.990798997,5.381219197,8.846715002,5.393967535,5.386178609,2.05610656,3.59113528
6.500892053,0.37233601,3.245578202,2.43252899,3.207982321,3.124986078,2.134249269,3.73716555,1.353767195,1.634203392,2.911943091,2.410980652,8.694366465,5.441788748,7.822257854,4.073549557,4.465965176,6.049262109,4.225957017,6.331490646,7.434917501,6.981399705,6.735724844,2.995499202,2.986650251,3.976453006,4.753568375,3.769499171,1.903301007,2.135657113
6.611025352,0.088971678,3.797340028,2.112256756,3.056152825,3.690537172,1.432532721,3.953052031,3.23516265,1.625075913,3.229279032,2.277789609,6.709975409,4.048120025,4.378509083,2.388294423,2.714968735,4.083108947,3.137449718,4.641876813,5.273789664,4.986434964,5.291527281,1.770605304,2.027518405,2.583025741,3.091182446,1.589372705,1.422260783,1.567634329
9.832564341,3.198061846,7.526761384,6.793265993,7.767054181,11.21929326,6.2815065,9.134953971,8.316874748,8.409996033,5.828291206,6.586498309,7.250660506,4.529525071,5.476970174,2.975882478,4.294699435,4.569554346,3.402708578,7.079579034,6.632494924,5.111217102,6.118952526,2.022906724,1.931877662,2.900873171,3.621220398,2.695787365,1.508476555,1.647086283
6.440388486,0.045680054,3.625422845,2.39921722,2.746694876,3.507617836,1.648208755,3.865125104,1.529051742,1.878767227,2.434993061,2.822447257,26.82040751,10.28451722,22.94169371,16.23510812,22.25270763,20.19063649,13.42524347,23.33037079,20.85794557,10.5815844,11.12027721,11.06998647,5.523360802,13.87399252,6.422912116,7.030664188,4.308758742,9.804317859
7.183861646,0.884792963,4.526245369,2.593301499,3.269978892,4.564490259,2.992223909,4.722190619,3.63126087,3.209139317,3.846462108,3.423800037,5.405699821,4.425252389,3.916857075,1.719995635,2.256859301,5.104948911,3.630713872,4.32344506,5.041802385,4.181587783,4.832594293,0.801783198,2.478493452,2.468050313,2.765168544,1.872181633,0.659532107,0.084056
8.773895845,2.731037425,5.834257865,4.624618665,4.721827052,5.665640513,4.130275589,5.667892766,4.570510621,4.390004284,4.68533631,4.238946375,7.840436044,7.400574527,6.094385153,4.383202461,4.616737982,7.925725117,5.994918137,6.413804478,6.866968915,7.153203744,8.091134054,3.407438712,5.394267817,4.165818822,5.076270581,4.34298211,3.830313428,1.998215711
11.92114532,5.235026924,8.0672481,7.077480659,5.654214567,6.596049141,6.219789371,9.424504376,7.424389037,7.350145119,7.450218718,6.977551899,7.940848943,8.936688532,4.856919214,5.470738751,5.00816263,9.037361437,7.912072718,6.727718466,8.878564492,5.989459098,8.705119449,3.693402112,6.534382681,3.113684061,5.3428102,4.767438638,5.833588153,1.118537356
29.99593466,21.45570301,20.88478283,21.90468312,14.98344357,17.5456428,19.40805294,21.24971355,22.02765946,20.17014633,24.53350493,21.99840628,11.32132361,19.14120807,7.90823518,11.09788901,10.22619666,18.20915385,17.73417821,13.42599421,19.51277614,9.509068544,19.29926996,8.486754067,13.36739312,8.159503772,11.62095546,15.58114534,17.81566007,5.86875307
86.36897851,80.23102108,96.86444524,85.53390411,63.86313639,68.86817981,79.50448145,101.246173,99.95624749,102.1921353,66.12027511,66.49314698,44.57386682,82.00246862,32.32009044,50.03603301,46.73368237,64.51582774,76.87867651,49.62568522,67.38728073,32.73388328,70.17972592,39.00559158,57.29720482,36.95147478,52.53343964,73.88401048,81.82999819,35.15981571
25.8141903,22.66134381,37.64434311,27.10409858,23.27105496,26.33714018,24.9688694,40.21582855,29.86526587,40.12264621,16.67072799,17.91740892,61.41115688,129.2572263,53.46531437,65.68623851,63.16854539,75.27685196,84.31478705,57.16605502,68.11068552,41.40280491,71.63857962,51.15422051,70.34719589,39.20190433,53.62829928,53.62846159,73.01231086,42.58137799
9.416798375,5.141417985,8.87591673,6.968821204,6.303419567,6.987229263,6.474688248,9.86344938,7.145301169,8.827059459,5.425069628,5.776875404,14.76088587,27.4302149,11.78496967,12.82711686,12.50556409,16.56011904,19.36031666,11.07008609,16.43999001,11.02788715,16.33846288,9.413447413,16.51763266,8.30318118,11.62474058,11.22408361,13.68140568,7.250318881
7.74943007,2.246643737,5.480396692,3.163494796,3.229965021,4.230203235,3.282774635,5.685111408,2.821807845,3.326804234,2.914129336,3.249825999,9.142232692,13.75739918,5.893484274,6.006420568,6.165245041,8.970104349,10.09426136,7.415052656,10.37261117,6.565582898,10.65143073,4.237063725,8.001766604,3.968189789,6.44274785,5.468057994,6.441676115,3.01184115
7.23512079,1.510936978,3.965997106,3.158682992,3.284700379,4.078577512,2.237316088,5.66775335,2.706688232,2.865055599,3.264750446,2.885181763,7.436695181,9.877631739,5.301893076,4.660138882,4.508192002,7.449445795,7.454648922,6.495397428,8.120706379,5.991512909,8.845601832,2.757262583,5.818371711,3.148894269,5.53982186,4.745723261,4.815029504,2.764894704
